id,title,decision,is_english,is_matching,audit_reason
https://openalex.org/W3010802132,METHOD OF ASSESSMENT OF THE EFFICIENCY OF THE COMMUNICATION OF OPERATIONAL TROOP GROUPING SYSTEM,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W3088886903,A HYBRID LBWA - IR-MAIRCA MULTI-CRITERIA DECISION-MAKING MODEL FOR DETERMINATION OF CONSTRUCTIVE ELEMENTS OF WEAPONS,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4379470041,Integral Approach to Vulnerability Assessment of Ship’s Critical Equipment and Systems,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W3152944550,Assessment of Potential Negative Impact of the System of Factors on the Ship's Operational Condition During Transportation of Oversized and Heavy Cargoes,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4235127277,洋板块地质与川藏铁路工程地质关键区带,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4353079923,Justification of the Empirical Expression for Assessing the Noise Immunity of Quadrature Modulation Signals,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W3209432496,CALCULATING THE RANGE OF AN ELECTRIC AIRCRAFT,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4416760843,生成式人工智能在法学学科教育中的应用及风险防范,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4415384708,椎动脉型颈椎病的研究进展,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4391062521,Application of the new hybrid model LMAW-G-EDAS multi-criteria decision-making when choosing an assault rifle for the needs of the army,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4245788247,兴蒙造山带的基底属性与构造演化过程,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4240586156,基于随机森林的滑坡空间易发性评价：以三峡库区湖北段为例,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4245529664,雄安新区地热水化学特征及其指示意义,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4385233968,The scientific process of two interferometers (optical) development and the mitigation of external influence,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4247051542,南海北部天然气水合物富集特征及定量评价,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4232105644,增生型造山带结构解析与时空制约,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4236650201,南海大陆边缘动力学：从陆缘破裂到海底扩张,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W2777539916,Analysis of modern condition of military radiocommunication system,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4239512784,鄂西早三叠世南漳-远安动物群地层分布特征,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4205094197,Estimation of noise radiance point sources multichannel direction finding systems resolution by linear prediction method,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4231557527,三峡水库运行前后洞庭湖洲滩面积变化遥感认识,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4248385056,东营凹陷细粒混积岩发育环境及其岩相组合：以沙四上亚段泥页岩细粒沉积为例,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4360842155,MATHEMATICAL ASPECTS OF DETERMINING THE MOTION PARAMETERS OF A TARGET BY UAV,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4233818919,旋转地震学的研究进展,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4254920685,“同一健康”视角下医学地质学的创新发展,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4255456069,南岭构造带基础地质特征与成矿地质背景,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4407034618,REGARDING THE FEATURES OF THE COMBAT APPLICATION OF FPV DRONES IN THE WAR BETWEEN RUSSIA AND UKRAINE,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4393524196,METHOD OF NUMERICAL MODELING OF DETERMINING THE INDICATOR OF MISSILE FIRING EFFICIENCY AT VARIOUS AIR TARGETS WHEN PRACTICING TARGETING FROM A BATTERY COMMAND POST,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4403267695,MAIN TRENDS IN THE USE OF UNMANNED AIRCRAFT IN THE RUSSIAN-UKRAINIAN WAR,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4410386699,板块构造理论的诞生,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W3153145395,陆壳超深俯冲到斯石英稳定域地幔深度(~300 km)的新证据,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4400556690,Comparative analysis of aerosol camouflage means in army in the Armed Forces of Ukraine and armies of western partner countries,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4416760746,体验式教学法在大学英语教育教学中的应用,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416761345,中华优秀传统文化融入高职英语教学中的问题与对策,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4400209736,Assessment of risks to the critical infrastructure of Ukraine in the conditions of russian military aggression,APPROVED,True,True,FastText passed English detection. | Abstract passed rule-based garbage text inspection.
https://openalex.org/W4415384070,中医治疗糖尿病周围神经病变的用药规律及临证经验的研究,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4415384688,儿童肺炎支原体感染临床治疗探讨,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416760506,浅析情境教学在高中数学教学中的应用,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416760811,教学改革在临床护理教学中的应用,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416760956,新时代高校劳动教育与创新创业教育协同育人的实践探索,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416761141,混合式教学模式在高校英语教学中的应用策略探析,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416761246,三教改革背景下职业本科院校会计专业创新创业人才培养模式研究与实践,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416761485,高校美育与中华优秀传统文化的融合发展研究,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416762071,新媒体技术在大学英语教育中的应用探究,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4416762499,小儿呼吸内科支气管肺炎的临床治疗观察,REJECTED,False,True,lang X (FastText detected non-English content.)
https://openalex.org/W4417412089,手术室优化护理对腹腔镜胃肠手术患者的影响,REJECTED,False,True,lang X (FastText detected non-English content.)
